compound_id,assay_id,value,qualifier,units,n,source_table,source_note
22,wb_il6,405.0,=,nM,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,wb_tpo,6389.0,=,nM,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,wb_tpo_il6_fold,16.0,=,fold,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,caco2_papp,4.5,=,1e-6 cm/s,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,proj_h_cl,0.7,=,L/h/kg,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,proj_h_f,48.0,=,%,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,rat_cl_hbf,8.0,=,%,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,rat_iv_t_half,3.7,=,h,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,rat_po_auc,45210.0,=,nM.h,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,rat_po_t_half,4.2,=,h,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,rat_po_f,100.0,>,%,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,cyno_cl_hbf,4.0,=,%,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,cyno_iv_t_half,13.0,=,h,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,cyno_po_auc,137199.0,=,nM.h,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,cyno_po_f,100.0,=,%,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,dog_cl_hbf,4.0,=,%,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,dog_iv_t_half,22.0,=,h,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,dog_po_auc,165386.0,=,nM.h,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,dog_po_t_half,23.0,=,h,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
22,dog_po_f,100.0,=,%,,T6,Rat 2.5 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.5 and 5
18,jak1_ic50,0.25,=,nM,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,jak2_ic50,6.1,=,nM,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,jak2_jak1_fold,25.0,=,fold,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,ina6_ic50,70.0,=,nM,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,wb_il6,207.0,=,nM,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,wb_tpo,1167.0,=,nM,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,wb_tpo_il6_fold,6.0,=,fold,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,caco2_papp,8.5,=,1e-6 cm/s,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,proj_h_cl,0.7,=,L/h/kg,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,proj_h_f,42.0,=,%,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,rat_cl_hbf,11.0,=,%,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,rat_iv_t_half,3.7,=,h,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,rat_po_auc,11884.0,=,nM.h,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,rat_po_t_half,4.6,=,h,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,rat_po_f,54.0,=,%,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,cyno_cl_hbf,3.0,=,%,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,cyno_iv_t_half,8.4,=,h,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,cyno_po_auc,75984.0,=,nM.h,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,cyno_po_t_half,16.0,=,h,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,cyno_po_f,54.0,=,%,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,dog_cl_hbf,82.0,=,%,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,dog_iv_t_half,1.1,=,h,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,dog_po_auc,65.0,=,nM.h,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,dog_po_t_half,0.9,=,h,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
18,dog_po_f,1.0,=,%,,T6,Rat 2 mg/kg IV and 5 mg/kg PO; cyno 2.5 and 5; dog 2.0 and 4
22,il2_t_cell,20.0,=,nM,,Text pG-H,"The IL-2 T cell figure is published as a range, 10 to 30 nM, across pSTAT3, pSTAT5 and proliferation: 20 nM is its midpoint and the range is what the paper actually states"
22,wb_il6_pstat1,360.0,=,nM,,Text pG-H,"The IL-2 T cell figure is published as a range, 10 to 30 nM, across pSTAT3, pSTAT5 and proliferation: 20 nM is its midpoint and the range is what the paper actually states"
22,wb_il6_pstat3,690.0,=,nM,,Text pG-H,"The IL-2 T cell figure is published as a range, 10 to 30 nM, across pSTAT3, pSTAT5 and proliferation: 20 nM is its midpoint and the range is what the paper actually states"
22,pbmc_mcp1,178.0,=,nM,,Text pG-H,"The IL-2 T cell figure is published as a range, 10 to 30 nM, across pSTAT3, pSTAT5 and proliferation: 20 nM is its midpoint and the range is what the paper actually states"
22,herg_ic50,20.0,>,uM,,Text pG-H,"The IL-2 T cell figure is published as a range, 10 to 30 nM, across pSTAT3, pSTAT5 and proliferation: 20 nM is its midpoint and the range is what the paper actually states"
